"time_idx","location","value","target"
"2020-01-04","01",0,"inc hosp"
"2020-01-04","05",0,"inc hosp"
"2020-01-04","15",0,"inc hosp"
"2020-01-04","18",0,"inc hosp"
"2020-01-04","22",0,"inc hosp"
"2020-01-04","27",0,"inc hosp"
"2020-01-04","30",0,"inc hosp"
"2020-01-04","37",0,"inc hosp"
"2020-01-04","32",528,"inc hosp"
"2020-01-04","72",0,"inc hosp"
"2020-01-04","48",0,"inc hosp"
"2020-01-04","78",0,"inc hosp"
"2020-01-11","01",0,"inc hosp"
"2020-01-11","15",0,"inc hosp"
"2020-01-11","18",0,"inc hosp"
"2020-01-11","27",0,"inc hosp"
"2020-01-11","30",0,"inc hosp"
"2020-01-11","37",0,"inc hosp"
"2020-01-11","48",0,"inc hosp"
"2020-01-18","01",0,"inc hosp"
"2020-01-18","15",0,"inc hosp"
"2020-01-18","18",0,"inc hosp"
"2020-01-18","27",0,"inc hosp"
"2020-01-18","30",0,"inc hosp"
"2020-01-18","37",0,"inc hosp"
"2020-01-18","48",0,"inc hosp"
"2020-01-25","01",0,"inc hosp"
"2020-01-25","15",0,"inc hosp"
"2020-01-25","18",0,"inc hosp"
"2020-01-25","27",0,"inc hosp"
"2020-01-25","30",0,"inc hosp"
"2020-01-25","37",0,"inc hosp"
"2020-01-25","32",0,"inc hosp"
"2020-01-25","48",0,"inc hosp"
"2020-02-01","01",0,"inc hosp"
"2020-02-01","15",0,"inc hosp"
"2020-02-01","18",0,"inc hosp"
"2020-02-01","20",0,"inc hosp"
"2020-02-01","27",0,"inc hosp"
"2020-02-01","30",0,"inc hosp"
"2020-02-01","37",0,"inc hosp"
"2020-02-01","32",0,"inc hosp"
"2020-02-01","48",0,"inc hosp"
"2020-02-08","01",0,"inc hosp"
"2020-02-08","15",0,"inc hosp"
"2020-02-08","18",0,"inc hosp"
"2020-02-08","20",0,"inc hosp"
"2020-02-08","27",0,"inc hosp"
"2020-02-08","30",0,"inc hosp"
"2020-02-08","37",0,"inc hosp"
"2020-02-08","32",0,"inc hosp"
"2020-02-08","48",0,"inc hosp"
"2020-02-15","01",0,"inc hosp"
"2020-02-15","15",0,"inc hosp"
"2020-02-15","18",0,"inc hosp"
"2020-02-15","20",0,"inc hosp"
"2020-02-15","27",0,"inc hosp"
"2020-02-15","30",0,"inc hosp"
"2020-02-15","37",0,"inc hosp"
"2020-02-15","32",0,"inc hosp"
"2020-02-15","48",0,"inc hosp"
"2020-02-22","01",0,"inc hosp"
"2020-02-22","15",0,"inc hosp"
"2020-02-22","17",0,"inc hosp"
"2020-02-22","18",0,"inc hosp"
"2020-02-22","20",0,"inc hosp"
"2020-02-22","27",0,"inc hosp"
"2020-02-22","29",0,"inc hosp"
"2020-02-22","28",0,"inc hosp"
"2020-02-22","30",0,"inc hosp"
"2020-02-22","37",0,"inc hosp"
"2020-02-22","32",0,"inc hosp"
"2020-02-22","48",0,"inc hosp"
"2020-02-29","01",0,"inc hosp"
"2020-02-29","06",0,"inc hosp"
"2020-02-29","13",0,"inc hosp"
"2020-02-29","15",0,"inc hosp"
"2020-02-29","19",0,"inc hosp"
"2020-02-29","17",0,"inc hosp"
"2020-02-29","18",0,"inc hosp"
"2020-02-29","20",0,"inc hosp"
"2020-02-29","21",0,"inc hosp"
"2020-02-29","22",0,"inc hosp"
"2020-02-29","24",0,"inc hosp"
"2020-02-29","23",0,"inc hosp"
"2020-02-29","26",0,"inc hosp"
"2020-02-29","27",0,"inc hosp"
"2020-02-29","29",0,"inc hosp"
"2020-02-29","28",0,"inc hosp"
"2020-02-29","30",0,"inc hosp"
"2020-02-29","37",0,"inc hosp"
"2020-02-29","38",0,"inc hosp"
"2020-02-29","31",0,"inc hosp"
"2020-02-29","34",0,"inc hosp"
"2020-02-29","32",0,"inc hosp"
"2020-02-29","39",0,"inc hosp"
"2020-02-29","40",0,"inc hosp"
"2020-02-29","41",0,"inc hosp"
"2020-02-29","42",0,"inc hosp"
"2020-02-29","72",0,"inc hosp"
"2020-02-29","48",0,"inc hosp"
"2020-02-29","53",0,"inc hosp"
"2020-02-29","55",0,"inc hosp"
"2020-02-29","54",0,"inc hosp"
"2020-02-29","56",0,"inc hosp"
"2020-03-07","01",0,"inc hosp"
"2020-03-07","04",0,"inc hosp"
"2020-03-07","06",0,"inc hosp"
"2020-03-07","13",0,"inc hosp"
"2020-03-07","15",0,"inc hosp"
"2020-03-07","19",0,"inc hosp"
"2020-03-07","17",0,"inc hosp"
"2020-03-07","18",0,"inc hosp"
"2020-03-07","20",0,"inc hosp"
"2020-03-07","21",0,"inc hosp"
"2020-03-07","22",0,"inc hosp"
"2020-03-07","24",0,"inc hosp"
"2020-03-07","23",0,"inc hosp"
"2020-03-07","26",0,"inc hosp"
"2020-03-07","27",0,"inc hosp"
"2020-03-07","29",0,"inc hosp"
"2020-03-07","28",0,"inc hosp"
"2020-03-07","30",0,"inc hosp"
"2020-03-07","37",0,"inc hosp"
"2020-03-07","38",0,"inc hosp"
"2020-03-07","31",0,"inc hosp"
"2020-03-07","34",0,"inc hosp"
"2020-03-07","32",0,"inc hosp"
"2020-03-07","39",0,"inc hosp"
"2020-03-07","40",0,"inc hosp"
"2020-03-07","41",0,"inc hosp"
"2020-03-07","42",0,"inc hosp"
"2020-03-07","72",0,"inc hosp"
"2020-03-07","44",0,"inc hosp"
"2020-03-07","45",0,"inc hosp"
"2020-03-07","48",0,"inc hosp"
"2020-03-07","51",0,"inc hosp"
"2020-03-07","53",0,"inc hosp"
"2020-03-07","55",0,"inc hosp"
"2020-03-07","54",0,"inc hosp"
"2020-03-07","56",0,"inc hosp"
"2020-03-14","01",0,"inc hosp"
"2020-03-14","05",0,"inc hosp"
"2020-03-14","04",0,"inc hosp"
"2020-03-14","06",0,"inc hosp"
"2020-03-14","08",0,"inc hosp"
"2020-03-14","12",0,"inc hosp"
"2020-03-14","13",0,"inc hosp"
"2020-03-14","15",0,"inc hosp"
"2020-03-14","19",0,"inc hosp"
"2020-03-14","16",0,"inc hosp"
"2020-03-14","17",0,"inc hosp"
"2020-03-14","18",0,"inc hosp"
"2020-03-14","20",0,"inc hosp"
"2020-03-14","21",0,"inc hosp"
"2020-03-14","22",0,"inc hosp"
"2020-03-14","24",0,"inc hosp"
"2020-03-14","23",0,"inc hosp"
"2020-03-14","26",0,"inc hosp"
"2020-03-14","27",0,"inc hosp"
"2020-03-14","29",0,"inc hosp"
"2020-03-14","28",0,"inc hosp"
"2020-03-14","30",0,"inc hosp"
"2020-03-14","37",0,"inc hosp"
"2020-03-14","38",0,"inc hosp"
"2020-03-14","31",0,"inc hosp"
"2020-03-14","34",0,"inc hosp"
"2020-03-14","35",0,"inc hosp"
"2020-03-14","32",0,"inc hosp"
"2020-03-14","36",0,"inc hosp"
"2020-03-14","39",0,"inc hosp"
"2020-03-14","40",0,"inc hosp"
"2020-03-14","41",0,"inc hosp"
"2020-03-14","42",0,"inc hosp"
"2020-03-14","72",0,"inc hosp"
"2020-03-14","44",0,"inc hosp"
"2020-03-14","45",0,"inc hosp"
"2020-03-14","47",0,"inc hosp"
"2020-03-14","48",0,"inc hosp"
"2020-03-14","49",0,"inc hosp"
"2020-03-14","51",0,"inc hosp"
"2020-03-14","53",0,"inc hosp"
"2020-03-14","55",0,"inc hosp"
"2020-03-14","54",0,"inc hosp"
"2020-03-14","56",0,"inc hosp"
"2020-03-21","01",0,"inc hosp"
"2020-03-21","05",0,"inc hosp"
"2020-03-21","04",0,"inc hosp"
"2020-03-21","06",0,"inc hosp"
"2020-03-21","09",0,"inc hosp"
"2020-03-21","12",0,"inc hosp"
"2020-03-21","13",0,"inc hosp"
"2020-03-21","15",0,"inc hosp"
"2020-03-21","19",0,"inc hosp"
"2020-03-21","16",0,"inc hosp"
"2020-03-21","17",0,"inc hosp"
"2020-03-21","18",0,"inc hosp"
"2020-03-21","20",0,"inc hosp"
"2020-03-21","21",0,"inc hosp"
"2020-03-21","22",0,"inc hosp"
"2020-03-21","24",0,"inc hosp"
"2020-03-21","23",0,"inc hosp"
"2020-03-21","26",0,"inc hosp"
"2020-03-21","27",0,"inc hosp"
"2020-03-21","29",0,"inc hosp"
"2020-03-21","28",0,"inc hosp"
"2020-03-21","30",0,"inc hosp"
"2020-03-21","37",0,"inc hosp"
"2020-03-21","38",0,"inc hosp"
"2020-03-21","31",0,"inc hosp"
"2020-03-21","34",0,"inc hosp"
"2020-03-21","35",0,"inc hosp"
"2020-03-21","32",0,"inc hosp"
"2020-03-21","36",0,"inc hosp"
"2020-03-21","39",0,"inc hosp"
"2020-03-21","40",0,"inc hosp"
"2020-03-21","41",0,"inc hosp"
"2020-03-21","42",0,"inc hosp"
"2020-03-21","72",0,"inc hosp"
"2020-03-21","44",0,"inc hosp"
"2020-03-21","45",0,"inc hosp"
"2020-03-21","47",0,"inc hosp"
"2020-03-21","48",0,"inc hosp"
"2020-03-21","51",0,"inc hosp"
"2020-03-21","50",0,"inc hosp"
"2020-03-21","53",0,"inc hosp"
"2020-03-21","55",0,"inc hosp"
"2020-03-21","54",0,"inc hosp"
"2020-03-21","56",0,"inc hosp"
"2020-03-28","02",0,"inc hosp"
"2020-03-28","01",0,"inc hosp"
"2020-03-28","05",0,"inc hosp"
"2020-03-28","04",0,"inc hosp"
"2020-03-28","06",0,"inc hosp"
"2020-03-28","08",0,"inc hosp"
"2020-03-28","09",0,"inc hosp"
"2020-03-28","11",0,"inc hosp"
"2020-03-28","10",0,"inc hosp"
"2020-03-28","12",0,"inc hosp"
"2020-03-28","13",0,"inc hosp"
"2020-03-28","15",0,"inc hosp"
"2020-03-28","19",0,"inc hosp"
"2020-03-28","16",0,"inc hosp"
"2020-03-28","17",0,"inc hosp"
"2020-03-28","18",0,"inc hosp"
"2020-03-28","20",0,"inc hosp"
"2020-03-28","21",0,"inc hosp"
"2020-03-28","22",0,"inc hosp"
"2020-03-28","25",0,"inc hosp"
"2020-03-28","24",0,"inc hosp"
"2020-03-28","23",0,"inc hosp"
"2020-03-28","26",0,"inc hosp"
"2020-03-28","27",0,"inc hosp"
"2020-03-28","29",0,"inc hosp"
"2020-03-28","28",0,"inc hosp"
"2020-03-28","30",0,"inc hosp"
"2020-03-28","37",0,"inc hosp"
"2020-03-28","38",0,"inc hosp"
"2020-03-28","31",0,"inc hosp"
"2020-03-28","33",0,"inc hosp"
"2020-03-28","34",0,"inc hosp"
"2020-03-28","35",0,"inc hosp"
"2020-03-28","32",0,"inc hosp"
"2020-03-28","36",0,"inc hosp"
"2020-03-28","39",0,"inc hosp"
"2020-03-28","40",0,"inc hosp"
"2020-03-28","41",0,"inc hosp"
"2020-03-28","42",0,"inc hosp"
"2020-03-28","72",0,"inc hosp"
"2020-03-28","44",0,"inc hosp"
"2020-03-28","45",0,"inc hosp"
"2020-03-28","46",0,"inc hosp"
"2020-03-28","47",0,"inc hosp"
"2020-03-28","48",0,"inc hosp"
"2020-03-28","49",0,"inc hosp"
"2020-03-28","51",0,"inc hosp"
"2020-03-28","50",0,"inc hosp"
"2020-03-28","53",0,"inc hosp"
"2020-03-28","55",0,"inc hosp"
"2020-03-28","54",0,"inc hosp"
"2020-03-28","56",0,"inc hosp"
"2020-04-04","02",0,"inc hosp"
"2020-04-04","01",0,"inc hosp"
"2020-04-04","05",0,"inc hosp"
"2020-04-04","04",0,"inc hosp"
"2020-04-04","06",0,"inc hosp"
"2020-04-04","08",0,"inc hosp"
"2020-04-04","09",0,"inc hosp"
"2020-04-04","11",0,"inc hosp"
"2020-04-04","10",0,"inc hosp"
"2020-04-04","12",0,"inc hosp"
"2020-04-04","13",0,"inc hosp"
"2020-04-04","15",0,"inc hosp"
"2020-04-04","19",0,"inc hosp"
"2020-04-04","16",0,"inc hosp"
"2020-04-04","17",0,"inc hosp"
"2020-04-04","18",0,"inc hosp"
"2020-04-04","20",0,"inc hosp"
"2020-04-04","21",0,"inc hosp"
"2020-04-04","22",0,"inc hosp"
"2020-04-04","25",0,"inc hosp"
"2020-04-04","24",0,"inc hosp"
"2020-04-04","23",0,"inc hosp"
"2020-04-04","26",0,"inc hosp"
"2020-04-04","27",0,"inc hosp"
"2020-04-04","29",0,"inc hosp"
"2020-04-04","28",0,"inc hosp"
"2020-04-04","30",0,"inc hosp"
"2020-04-04","37",0,"inc hosp"
"2020-04-04","38",0,"inc hosp"
"2020-04-04","31",0,"inc hosp"
"2020-04-04","33",0,"inc hosp"
"2020-04-04","34",0,"inc hosp"
"2020-04-04","35",0,"inc hosp"
"2020-04-04","32",0,"inc hosp"
"2020-04-04","36",0,"inc hosp"
"2020-04-04","39",0,"inc hosp"
"2020-04-04","40",0,"inc hosp"
"2020-04-04","41",0,"inc hosp"
"2020-04-04","42",0,"inc hosp"
"2020-04-04","72",0,"inc hosp"
"2020-04-04","44",0,"inc hosp"
"2020-04-04","45",0,"inc hosp"
"2020-04-04","46",0,"inc hosp"
"2020-04-04","47",0,"inc hosp"
"2020-04-04","48",0,"inc hosp"
"2020-04-04","49",0,"inc hosp"
"2020-04-04","51",0,"inc hosp"
