"location","time_idx","value","target"
"AT","2020-01-23",0,"inc death"
"BE","2020-01-23",0,"inc death"
"BG","2020-01-23",0,"inc death"
"HR","2020-01-23",0,"inc death"
"CY","2020-01-23",0,"inc death"
"CZ","2020-01-23",0,"inc death"
"DK","2020-01-23",0,"inc death"
"EE","2020-01-23",0,"inc death"
"FI","2020-01-23",0,"inc death"
"FR","2020-01-23",0,"inc death"
"DE","2020-01-23",0,"inc death"
"GR","2020-01-23",0,"inc death"
"HU","2020-01-23",0,"inc death"
"IS","2020-01-23",0,"inc death"
"IE","2020-01-23",0,"inc death"
"IT","2020-01-23",0,"inc death"
"LV","2020-01-23",0,"inc death"
"LI","2020-01-23",0,"inc death"
"LT","2020-01-23",0,"inc death"
"LU","2020-01-23",0,"inc death"
"MT","2020-01-23",0,"inc death"
"NL","2020-01-23",0,"inc death"
"NO","2020-01-23",0,"inc death"
"PL","2020-01-23",0,"inc death"
"PT","2020-01-23",0,"inc death"
"RO","2020-01-23",0,"inc death"
"SK","2020-01-23",0,"inc death"
"SI","2020-01-23",0,"inc death"
"ES","2020-01-23",0,"inc death"
"SE","2020-01-23",0,"inc death"
"CH","2020-01-23",0,"inc death"
"GB","2020-01-23",0,"inc death"
"AT","2020-01-24",0,"inc death"
"BE","2020-01-24",0,"inc death"
"BG","2020-01-24",0,"inc death"
"HR","2020-01-24",0,"inc death"
"CY","2020-01-24",0,"inc death"
"CZ","2020-01-24",0,"inc death"
"DK","2020-01-24",0,"inc death"
"EE","2020-01-24",0,"inc death"
"FI","2020-01-24",0,"inc death"
"FR","2020-01-24",0,"inc death"
"DE","2020-01-24",0,"inc death"
"GR","2020-01-24",0,"inc death"
"HU","2020-01-24",0,"inc death"
"IS","2020-01-24",0,"inc death"
"IE","2020-01-24",0,"inc death"
"IT","2020-01-24",0,"inc death"
"LV","2020-01-24",0,"inc death"
"LI","2020-01-24",0,"inc death"
"LT","2020-01-24",0,"inc death"
"LU","2020-01-24",0,"inc death"
"MT","2020-01-24",0,"inc death"
"NL","2020-01-24",0,"inc death"
"NO","2020-01-24",0,"inc death"
"PL","2020-01-24",0,"inc death"
"PT","2020-01-24",0,"inc death"
"RO","2020-01-24",0,"inc death"
"SK","2020-01-24",0,"inc death"
"SI","2020-01-24",0,"inc death"
"ES","2020-01-24",0,"inc death"
"SE","2020-01-24",0,"inc death"
"CH","2020-01-24",0,"inc death"
"GB","2020-01-24",0,"inc death"
"AT","2020-01-25",0,"inc death"
"BE","2020-01-25",0,"inc death"
"BG","2020-01-25",0,"inc death"
"HR","2020-01-25",0,"inc death"
"CY","2020-01-25",0,"inc death"
"CZ","2020-01-25",0,"inc death"
"DK","2020-01-25",0,"inc death"
"EE","2020-01-25",0,"inc death"
"FI","2020-01-25",0,"inc death"
"FR","2020-01-25",0,"inc death"
"DE","2020-01-25",0,"inc death"
"GR","2020-01-25",0,"inc death"
"HU","2020-01-25",0,"inc death"
"IS","2020-01-25",0,"inc death"
"IE","2020-01-25",0,"inc death"
"IT","2020-01-25",0,"inc death"
"LV","2020-01-25",0,"inc death"
"LI","2020-01-25",0,"inc death"
"LT","2020-01-25",0,"inc death"
"LU","2020-01-25",0,"inc death"
"MT","2020-01-25",0,"inc death"
"NL","2020-01-25",0,"inc death"
"NO","2020-01-25",0,"inc death"
"PL","2020-01-25",0,"inc death"
"PT","2020-01-25",0,"inc death"
"RO","2020-01-25",0,"inc death"
"SK","2020-01-25",0,"inc death"
"SI","2020-01-25",0,"inc death"
"ES","2020-01-25",0,"inc death"
"SE","2020-01-25",0,"inc death"
"CH","2020-01-25",0,"inc death"
"GB","2020-01-25",0,"inc death"
"AT","2020-01-26",0,"inc death"
"BE","2020-01-26",0,"inc death"
"BG","2020-01-26",0,"inc death"
"HR","2020-01-26",0,"inc death"
"CY","2020-01-26",0,"inc death"
"CZ","2020-01-26",0,"inc death"
"DK","2020-01-26",0,"inc death"
"EE","2020-01-26",0,"inc death"
"FI","2020-01-26",0,"inc death"
"FR","2020-01-26",0,"inc death"
"DE","2020-01-26",0,"inc death"
"GR","2020-01-26",0,"inc death"
"HU","2020-01-26",0,"inc death"
"IS","2020-01-26",0,"inc death"
"IE","2020-01-26",0,"inc death"
"IT","2020-01-26",0,"inc death"
"LV","2020-01-26",0,"inc death"
"LI","2020-01-26",0,"inc death"
"LT","2020-01-26",0,"inc death"
"LU","2020-01-26",0,"inc death"
"MT","2020-01-26",0,"inc death"
"NL","2020-01-26",0,"inc death"
"NO","2020-01-26",0,"inc death"
"PL","2020-01-26",0,"inc death"
"PT","2020-01-26",0,"inc death"
"RO","2020-01-26",0,"inc death"
"SK","2020-01-26",0,"inc death"
"SI","2020-01-26",0,"inc death"
"ES","2020-01-26",0,"inc death"
"SE","2020-01-26",0,"inc death"
"CH","2020-01-26",0,"inc death"
"GB","2020-01-26",0,"inc death"
"AT","2020-01-27",0,"inc death"
"BE","2020-01-27",0,"inc death"
"BG","2020-01-27",0,"inc death"
"HR","2020-01-27",0,"inc death"
"CY","2020-01-27",0,"inc death"
"CZ","2020-01-27",0,"inc death"
"DK","2020-01-27",0,"inc death"
"EE","2020-01-27",0,"inc death"
"FI","2020-01-27",0,"inc death"
"FR","2020-01-27",0,"inc death"
"DE","2020-01-27",0,"inc death"
"GR","2020-01-27",0,"inc death"
"HU","2020-01-27",0,"inc death"
"IS","2020-01-27",0,"inc death"
"IE","2020-01-27",0,"inc death"
"IT","2020-01-27",0,"inc death"
"LV","2020-01-27",0,"inc death"
"LI","2020-01-27",0,"inc death"
"LT","2020-01-27",0,"inc death"
"LU","2020-01-27",0,"inc death"
"MT","2020-01-27",0,"inc death"
"NL","2020-01-27",0,"inc death"
"NO","2020-01-27",0,"inc death"
"PL","2020-01-27",0,"inc death"
"PT","2020-01-27",0,"inc death"
"RO","2020-01-27",0,"inc death"
"SK","2020-01-27",0,"inc death"
"SI","2020-01-27",0,"inc death"
"ES","2020-01-27",0,"inc death"
"SE","2020-01-27",0,"inc death"
"CH","2020-01-27",0,"inc death"
"GB","2020-01-27",0,"inc death"
"AT","2020-01-28",0,"inc death"
"BE","2020-01-28",0,"inc death"
"BG","2020-01-28",0,"inc death"
"HR","2020-01-28",0,"inc death"
"CY","2020-01-28",0,"inc death"
"CZ","2020-01-28",0,"inc death"
"DK","2020-01-28",0,"inc death"
"EE","2020-01-28",0,"inc death"
"FI","2020-01-28",0,"inc death"
"FR","2020-01-28",0,"inc death"
"DE","2020-01-28",0,"inc death"
"GR","2020-01-28",0,"inc death"
"HU","2020-01-28",0,"inc death"
"IS","2020-01-28",0,"inc death"
"IE","2020-01-28",0,"inc death"
"IT","2020-01-28",0,"inc death"
"LV","2020-01-28",0,"inc death"
"LI","2020-01-28",0,"inc death"
"LT","2020-01-28",0,"inc death"
"LU","2020-01-28",0,"inc death"
"MT","2020-01-28",0,"inc death"
"NL","2020-01-28",0,"inc death"
"NO","2020-01-28",0,"inc death"
"PL","2020-01-28",0,"inc death"
"PT","2020-01-28",0,"inc death"
"RO","2020-01-28",0,"inc death"
"SK","2020-01-28",0,"inc death"
"SI","2020-01-28",0,"inc death"
"ES","2020-01-28",0,"inc death"
"SE","2020-01-28",0,"inc death"
"CH","2020-01-28",0,"inc death"
"GB","2020-01-28",0,"inc death"
"AT","2020-01-29",0,"inc death"
"BE","2020-01-29",0,"inc death"
"BG","2020-01-29",0,"inc death"
"HR","2020-01-29",0,"inc death"
"CY","2020-01-29",0,"inc death"
"CZ","2020-01-29",0,"inc death"
"DK","2020-01-29",0,"inc death"
"EE","2020-01-29",0,"inc death"
"FI","2020-01-29",0,"inc death"
"FR","2020-01-29",0,"inc death"
"DE","2020-01-29",0,"inc death"
"GR","2020-01-29",0,"inc death"
"HU","2020-01-29",0,"inc death"
"IS","2020-01-29",0,"inc death"
"IE","2020-01-29",0,"inc death"
"IT","2020-01-29",0,"inc death"
"LV","2020-01-29",0,"inc death"
"LI","2020-01-29",0,"inc death"
"LT","2020-01-29",0,"inc death"
"LU","2020-01-29",0,"inc death"
"MT","2020-01-29",0,"inc death"
"NL","2020-01-29",0,"inc death"
"NO","2020-01-29",0,"inc death"
"PL","2020-01-29",0,"inc death"
"PT","2020-01-29",0,"inc death"
"RO","2020-01-29",0,"inc death"
"SK","2020-01-29",0,"inc death"
"SI","2020-01-29",0,"inc death"
"ES","2020-01-29",0,"inc death"
"SE","2020-01-29",0,"inc death"
"CH","2020-01-29",0,"inc death"
"GB","2020-01-29",0,"inc death"
"AT","2020-01-30",0,"inc death"
"BE","2020-01-30",0,"inc death"
"BG","2020-01-30",0,"inc death"
"HR","2020-01-30",0,"inc death"
"CY","2020-01-30",0,"inc death"
"CZ","2020-01-30",0,"inc death"
"DK","2020-01-30",0,"inc death"
"EE","2020-01-30",0,"inc death"
"FI","2020-01-30",0,"inc death"
"FR","2020-01-30",0,"inc death"
"DE","2020-01-30",0,"inc death"
"GR","2020-01-30",0,"inc death"
"HU","2020-01-30",0,"inc death"
"IS","2020-01-30",0,"inc death"
"IE","2020-01-30",0,"inc death"
"IT","2020-01-30",0,"inc death"
"LV","2020-01-30",0,"inc death"
"LI","2020-01-30",0,"inc death"
"LT","2020-01-30",0,"inc death"
"LU","2020-01-30",0,"inc death"
"MT","2020-01-30",0,"inc death"
"NL","2020-01-30",0,"inc death"
"NO","2020-01-30",0,"inc death"
"PL","2020-01-30",0,"inc death"
"PT","2020-01-30",0,"inc death"
"RO","2020-01-30",0,"inc death"
"SK","2020-01-30",0,"inc death"
"SI","2020-01-30",0,"inc death"
"ES","2020-01-30",0,"inc death"
"SE","2020-01-30",0,"inc death"
"CH","2020-01-30",0,"inc death"
"GB","2020-01-30",1,"inc death"
"AT","2020-01-31",0,"inc death"
"BE","2020-01-31",0,"inc death"
"BG","2020-01-31",0,"inc death"
"HR","2020-01-31",0,"inc death"
"CY","2020-01-31",0,"inc death"
"CZ","2020-01-31",0,"inc death"
"DK","2020-01-31",0,"inc death"
"EE","2020-01-31",0,"inc death"
"FI","2020-01-31",0,"inc death"
"FR","2020-01-31",0,"inc death"
"DE","2020-01-31",0,"inc death"
"GR","2020-01-31",0,"inc death"
"HU","2020-01-31",0,"inc death"
"IS","2020-01-31",0,"inc death"
"IE","2020-01-31",0,"inc death"
"IT","2020-01-31",0,"inc death"
"LV","2020-01-31",0,"inc death"
"LI","2020-01-31",0,"inc death"
"LT","2020-01-31",0,"inc death"
"LU","2020-01-31",0,"inc death"
"MT","2020-01-31",0,"inc death"
"NL","2020-01-31",0,"inc death"
"NO","2020-01-31",0,"inc death"
"PL","2020-01-31",0,"inc death"
"PT","2020-01-31",0,"inc death"
"RO","2020-01-31",0,"inc death"
"SK","2020-01-31",0,"inc death"
"SI","2020-01-31",0,"inc death"
"ES","2020-01-31",0,"inc death"
"SE","2020-01-31",0,"inc death"
"CH","2020-01-31",0,"inc death"
"GB","2020-01-31",0,"inc death"
"AT","2020-02-01",0,"inc death"
"BE","2020-02-01",0,"inc death"
"BG","2020-02-01",0,"inc death"
"HR","2020-02-01",0,"inc death"
"CY","2020-02-01",0,"inc death"
"CZ","2020-02-01",0,"inc death"
"DK","2020-02-01",0,"inc death"
"EE","2020-02-01",0,"inc death"
"FI","2020-02-01",0,"inc death"
"FR","2020-02-01",0,"inc death"
"DE","2020-02-01",0,"inc death"
"GR","2020-02-01",0,"inc death"
"HU","2020-02-01",0,"inc death"
"IS","2020-02-01",0,"inc death"
"IE","2020-02-01",0,"inc death"
"IT","2020-02-01",0,"inc death"
"LV","2020-02-01",0,"inc death"
"LI","2020-02-01",0,"inc death"
"LT","2020-02-01",0,"inc death"
"LU","2020-02-01",0,"inc death"
"MT","2020-02-01",0,"inc death"
"NL","2020-02-01",0,"inc death"
"NO","2020-02-01",0,"inc death"
"PL","2020-02-01",0,"inc death"
"PT","2020-02-01",0,"inc death"
"RO","2020-02-01",0,"inc death"
"SK","2020-02-01",0,"inc death"
"SI","2020-02-01",0,"inc death"
"ES","2020-02-01",0,"inc death"
"SE","2020-02-01",0,"inc death"
"CH","2020-02-01",0,"inc death"
"GB","2020-02-01",0,"inc death"
"AT","2020-02-02",0,"inc death"
"BE","2020-02-02",0,"inc death"
"BG","2020-02-02",0,"inc death"
"HR","2020-02-02",0,"inc death"
"CY","2020-02-02",0,"inc death"
"CZ","2020-02-02",0,"inc death"
"DK","2020-02-02",0,"inc death"
"EE","2020-02-02",0,"inc death"
"FI","2020-02-02",0,"inc death"
"FR","2020-02-02",0,"inc death"
"DE","2020-02-02",0,"inc death"
"GR","2020-02-02",0,"inc death"
"HU","2020-02-02",0,"inc death"
"IS","2020-02-02",0,"inc death"
"IE","2020-02-02",0,"inc death"
"IT","2020-02-02",0,"inc death"
"LV","2020-02-02",0,"inc death"
"LI","2020-02-02",0,"inc death"
"LT","2020-02-02",0,"inc death"
"LU","2020-02-02",0,"inc death"
"MT","2020-02-02",0,"inc death"
"NL","2020-02-02",0,"inc death"
"NO","2020-02-02",0,"inc death"
"PL","2020-02-02",0,"inc death"
"PT","2020-02-02",0,"inc death"
"RO","2020-02-02",0,"inc death"
"SK","2020-02-02",0,"inc death"
"SI","2020-02-02",0,"inc death"
"ES","2020-02-02",0,"inc death"
"SE","2020-02-02",0,"inc death"
"CH","2020-02-02",0,"inc death"
"GB","2020-02-02",1,"inc death"
"AT","2020-02-03",0,"inc death"
"BE","2020-02-03",0,"inc death"
"BG","2020-02-03",0,"inc death"
"HR","2020-02-03",0,"inc death"
"CY","2020-02-03",0,"inc death"
"CZ","2020-02-03",0,"inc death"
